local_law_id,name,address,type_of_law_enforcement
1018429,PRECINTO 132 - GUAYNABO,CALLE ARBOLOTE 2,LOCAL POLICE DEPARTMENT
1018427,POLICIA MUNICIPAL DE GUAYNABO - GUAYNABO NORTE,CARRETERA 833,LOCAL POLICE DEPARTMENT
1018430,PRECINTO 232 - JUAN DOMINGO,"CALLE EL BUEN SAMARITANO 2, BARRIO JUAN DOMINGO",LOCAL POLICE DEPARTMENT
1018357,CUARTEL DE LA POLICIA ESTATAL - AGUAS BUENAS,CALLE SARGENTO RAMOS L REYES,LOCAL POLICE DEPARTMENT
1018370,POLICIA MUNICIPAL DE CABO ROJO,"CARRETERA 312, KILOMETRO 0.5",LOCAL POLICE DEPARTMENT
1016580,NORTH MIAMI POLICE DEPARTMENT,309 PINE STREET,LOCAL POLICE DEPARTMENT
1019013,SOUTH DAKOTA HIGHWAY PATROL - HURON,875 DAKOTA AVENUE NORTH,PRIMARY STATE AGENCY
1016579,MIAMI POLICE DEPARTMENT,129 5TH AVENUE NORTHWEST,LOCAL POLICE DEPARTMENT
1016338,AVANT POLICE DEPARTMENT,235 BROADWAY AVENUE,LOCAL POLICE DEPARTMENT
1016759,VELMA POLICE DEPARTMENT,910 MAIN STREET,LOCAL POLICE DEPARTMENT
1016694,OKLAHOMA BAPTIST UNIVERSITY POLICE DEPARTMENT,500 WEST UNIVERSITY STREET,SPECIAL JURISDICTION
1016632,OKMULGEE POLICE DEPARTMENT,115 NORTH MORTON AVENUE,LOCAL POLICE DEPARTMENT
1016466,BURNS FLAT POLICE DEPARTMENT,331 1/2 STATE HIGHWAY 44,LOCAL POLICE DEPARTMENT
1016696,SHAWNEE POLICE DEPARTMENT,16 WEST 9TH STREET,LOCAL POLICE DEPARTMENT
1016693,DISTRICT 23 DRUG AND VIOLENT CRIME TASK FORCE,331 NORTH BROADWAY STREET,SPECIAL JURISDICTION
1016752,TULSA POLICE DEPARTMENT - RIVERSIDE DIVISION,7515 SOUTH RIVERSIDE DRIVE,LOCAL POLICE DEPARTMENT
1016487,OKLAHOMA HIGHWAY PATROL - TROOP I,410 SOUTH PERKINS AVENUE,PRIMARY STATE AGENCY
1016435,OKLAHOMA HIGHWAY PATROL - TROOP E,3202 CARL ALBERT DRIVE,PRIMARY STATE AGENCY
1016749,TULSA POLICE DEPARTMENT - GILCREASE DIVISION,3436 NORTH DELAWARE AVENUE,LOCAL POLICE DEPARTMENT
1016753,TULSA PUBLIC SCHOOLS CAMPUS POLICE DEPARTMENT,3027 SOUTH NEW HAVEN AVENUE,SPECIAL JURISDICTION
1016409,COMMERCE POLICE DEPARTMENT,100 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016686,SEMINOLE CITY JAIL,211 NORTH 4TH STREET,LOCAL POLICE DEPARTMENT
1016399,PAWNEE COUNTY SHERIFFS OFFICE - SUBSTATION,WESTPORT ROAD,SHERIFF'S OFFICE
1016464,FORT SUPPLY POLICE DEPARTMENT,501 BROADWAY,LOCAL POLICE DEPARTMENT
1016431,DUNCAN POLICE DEPARTMENT,18 SOUTH 7TH STREET,LOCAL POLICE DEPARTMENT
1016710,STILLWATER POLICE DEPARTMENT,701 SOUTH LEWIS STREET,LOCAL POLICE DEPARTMENT
1016633,OKMULGEE SHERIFFS OFFICE / OKMULGEE CRIMINAL JUSTICE AUTHORITY,315 WEST 8TH STREET,SHERIFF'S OFFICE
1016520,JENKS POLICE DEPARTMENT,211 NORTH ELM STREET,LOCAL POLICE DEPARTMENT
1016415,LANGSTON POLICE DEPARTMENT,222 NORTH TOLSON STREET,LOCAL POLICE DEPARTMENT
1016347,BIG CABIN POLICE DEPARTMENT,112 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1016537,LAHOMA POLICE DEPARTMENT,201 MAIN STREET,LOCAL POLICE DEPARTMENT
1016556,LONE WOLF POLICE DEPARTMENT,1037 MAIN STREET,LOCAL POLICE DEPARTMENT
1016327,ARDMORE POLICE DEPARTMENT,23 SOUTH WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1016448,ENID POLICE DEPARTMENT,301 WEST OWEN K GARRIOTT ROAD,LOCAL POLICE DEPARTMENT
1016396,VERDIGRIS POLICE DEPARTMENT,25757 SOUTH STATE HIGHWAY 66,LOCAL POLICE DEPARTMENT
1016324,ARAPAHO POLICE DEPARTMENT,667 MAIN STREET,LOCAL POLICE DEPARTMENT
1016552,OKLAHOMA DEPARTMENT OF CORRECTIONS - LEXINGTON ASSESSMENT AND RECEPTION CENTER,15151 STATE HIGHWAY 39,PRIMARY STATE AGENCY
1016551,OKLAHOMA DEPARTMENT OF CORRECTIONS - JOSEPH HARP CORRECTIONAL CENTER,16161 MOFFAT ROAD,PRIMARY STATE AGENCY
1016330,OKLAHOMA HIGHWAY PATROL TROOP F,2001 VETERANS BOULEVARD,PRIMARY STATE AGENCY
1016401,OKLAHOMA HIGHWAY PATROL TROOP H,2225 GARY BOULEVARD,PRIMARY STATE AGENCY
1022983,NORTH PRAIRIE POLICE DEPARTMENT,130 NORTH HARRISON STREET,LOCAL POLICE DEPARTMENT
1016412,COVINGTON POLICE DEPARTMENT,224 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1016512,HUGO POLICE DEPARTMENT,205 SOUTH 2ND STREET,LOCAL POLICE DEPARTMENT
1016450,GARFIELD COUNTY SHERIFFS OFFICE,114 WEST BROADWAY AVENUE,SHERIFF'S OFFICE
1016365,BUFFALO POLICE DEPARTMENT,610 NORTH HOY STREET,LOCAL POLICE DEPARTMENT
1016572,OKLAHOMA HIGHWAY PATROL - TROOP D,1501 SOUTH GEORGE NIGH EXPRESSWAY,PRIMARY STATE AGENCY
1015459,COLUMBUS DIVISION OF POLICE - PRECINCT 13,544 WOODROW AVENUE,LOCAL POLICE DEPARTMENT
1015458,COLUMBUS DIVISION OF POLICE - PRECINCT 11 AND PRECINCT 12,950 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1016700,SPARKS POLICE DEPARTMENT,6TH STREET AND GUSS AVENUE,LOCAL POLICE DEPARTMENT
1018411,CUARTEL DE LA POLICIA - DORADO,"CARRETERA 693, KILOMETRO 7.2",LOCAL POLICE DEPARTMENT
1014088,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,400 EAST STEWART AVENUE,LOCAL POLICE DEPARTMENT
1016353,DIBBLE POLICE DEPARTMENT,12203 FIREMANS ROAD,LOCAL POLICE DEPARTMENT
1016358,PANAMA POLICE DEPARTMENT,100 NORTH KENTUCKY AVENUE,LOCAL POLICE DEPARTMENT
1016557,BLAINE COUNTY SHERIFFS OFFICE - LONGDALE SUB STATION,121 KEN MILLER BOULEVARD,SHERIFF'S OFFICE
1016455,MCINTOSH COUNTY SHERIFFS DEPARTMENT / MCINTOSH COUNTY JAIL,110 NORTH 1ST STREET,SHERIFF'S OFFICE
1016680,CREEK COUNTY SHERIFFS OFFICE,316 EAST LEE AVENUE,SHERIFF'S OFFICE
1015467,COLUMBUS DIVISION OF POLICE - PRECINCT 5,1371 CLEVELAND AVENUE,LOCAL POLICE DEPARTMENT
1012748,NEBRASKA STATE PATROL - TROOP E - SERGEANT AREA 3,316 MAIN STREET,PRIMARY STATE AGENCY
1023305,WEST VIRGINIA STATE POLICE TROOP 5 - GILBERT DETACHMENT,UNITED STATES HIGHWAY 52,PRIMARY STATE AGENCY
1014109,BUREAU OF INDIAN AFFAIRS LAW ENFORCEMENT SUBSTATION,433 SOUTH RESERVATION ROAD,LOCAL POLICE DEPARTMENT
1019093,SOUTH DAKOTA HIGHWAY PATROL - SIOUX FALLS PORT OF ENTRY,"INTERSTATE HIGHWAY 90, MILE POST 412",PRIMARY STATE AGENCY
1019081,SOUTH DAKOTA HIGHWAY PATROL - SISSETON PORT OF ENTRY,"INTERSTATE HIGHWAY 29, MILE POST 235 PERMIT CENTER",PRIMARY STATE AGENCY
1018987,SOUTH DAKOTA HIGHWAY PATROL - JEFFERSON PORT OF ENTRY,"INTERSTATE HIGHWAY 29, MILE POST 13",PRIMARY STATE AGENCY
1010313,MINNESOTA RIVER VALLEY JUVENILE DETENTION CENTER,510 NORTH FRONT STREET,LOCAL POLICE DEPARTMENT
1021625,UTAH HIGHWAY PATROL - SECTION 5 - ROOSEVELT,255 SOUTH STATE STREET,PRIMARY STATE AGENCY
1018958,BONESTEEL POLICE DEPARTMENT,MOBILE UNIT,LOCAL POLICE DEPARTMENT
1023121,WAUKESHA COUNTY SHERIFFS DEPARTMENT - SUSSEX SUB STATION,N63W24335 MAIN STREET,SHERIFF'S OFFICE
1022937,MILWAUKEE POLICE DEPARTMENT - DISTRICT THREE,2333 NORTH 49TH STREET,LOCAL POLICE DEPARTMENT
1023167,MILWAUKEE COUNTY SHERIFFS OFFICE - PATROL DIVISION,10190 WEST WATERTOWN PLANK ROAD,SHERIFF'S OFFICE
1022772,MILWAUKEE COUNTY SHERIFFS OFFICE COUNTY CORRECTIONAL FACILITY - SOUTH,8885 SOUTH 68TH STREET,SHERIFF'S OFFICE
1022930,MILWAUKEE COUNTY SHERIFFS OFFICE COUNTY CORRECTIONAL FACILITY - CENTRAL,949 NORTH 9TH STREET,SHERIFF'S OFFICE
1022868,LINDEN POLICE DEPARTMENT,444 JEFFERSON STREET,LOCAL POLICE DEPARTMENT
1022938,MILWAUKEE POLICE DEPARTMENT - DISTRICT TWO,245 WEST LINCOLN AVENUE,LOCAL POLICE DEPARTMENT
1016764,OKLAHOMA HIGHWAY PATROL,441276 EAST UNITED STATES HIGHWAY 60,PRIMARY STATE AGENCY
1023129,WISCONSIN STATE PATROL SOUTHWEST REGION - TOMAH POST,23928 LESTER MCMULLEN DRIVE,LOCAL POLICE DEPARTMENT
1022935,MILWAUKEE POLICE DEPARTMENT - DISTRICT SEVEN,3626 WEST FOND DU LAC AVENUE,LOCAL POLICE DEPARTMENT
1022932,MILWAUKEE POLICE DEPARTMENT - DISTRICT FIVE,2920 NORTH 4TH STREET,LOCAL POLICE DEPARTMENT
1022934,MILWAUKEE POLICE DEPARTMENT - DISTRICT ONE,749 WEST STATE STREET,LOCAL POLICE DEPARTMENT
1022929,MILWAUKEE COUNTY SHERIFFS OFFICE - AIRPORT DIVISION,"5300 SOUTH HOWELL AVENUE, GENERAL MITCHELL INTERNATIONAL AIRPORT",SHERIFF'S OFFICE
1022936,MILWAUKEE POLICE DEPARTMENT - DISTRICT SIX,3006 SOUTH 27TH STREET,LOCAL POLICE DEPARTMENT
1019086,SOUTH DAKOTA HIGHWAY PATROL - TILFORD PORT OF ENTRY,INTERSTATE HIGHWAY 90 MILE POST 39,PRIMARY STATE AGENCY
1015297,BLAKESLEE POLICE DEPARTMENT,MOBILE UNIT,LOCAL POLICE DEPARTMENT
1016257,WILBERFORCE UNIVERSITY POLICE DEPARTMENT,1055 NORTH BICKETT ROAD,SPECIAL JURISDICTION
1010251,BLUE EARTH COUNTY SHERIFFS OFFICE / BLUE EARTH COUNTY JAIL,401 CARVER ROAD,SHERIFF'S OFFICE
1019106,WILMOT POLICE DEPARTMENT,516 MAIN STREET,LOCAL POLICE DEPARTMENT
1016626,OKLAHOMA STATE HIGHWAY PATROL - TROOP A,2480 WEST INTERSTATE HIGHWAY 240,PRIMARY STATE AGENCY
1012702,NEBRASKA STATE PATROL - TROOP B - AINSWORTH,736 EAST 4TH STREET,PRIMARY STATE AGENCY
1023045,RACINE POLICE DEPARTMENT COMMUNITY ORIENTED POLICING OFFICE - WILLIAM WADEWITZ,1750 MEAD STREET,LOCAL POLICE DEPARTMENT
1021676,UTAH HIGHWAY PATROL - SECTION 8 - WENDOVER OFFICE,910 EAST WENDOVER BOULEVARD,PRIMARY STATE AGENCY
1014120,NEVADA DEPARTMENT OF PUBLIC SAFETY - NEVADA HIGHWAY PATROL - RENO STATION,357 HAMMILL LANE,PRIMARY STATE AGENCY
1021643,UTAH HIGHWAY PATROL - SALT LAKE COMMUNITY COLLEGE,"4600 SOUTH REDWOOD ROAD, BUILDING AD150",PRIMARY STATE AGENCY
1012881,NEBRASKA STATE PATROL - TROOP B - ONEILL,49342 EAST UNITED STATES HIGHWAY 20,PRIMARY STATE AGENCY
1018492,CUARTEL DE LA POLICIA ESTATAL - SABANA GRANDE,CALLE FRANCISCO MARIANO QUINON 11,LOCAL POLICE DEPARTMENT
1018477,POLICIA MUNICIPAL DE OROCOVIS,CARRETERA 568,LOCAL POLICE DEPARTMENT
1018526,CUARTEL DE LA POLICIA ESTATAL - TRUJILLO,CALLE MUNOZ RIVERA 2,LOCAL POLICE DEPARTMENT
1018529,DESTACAMENTO DE POLICIA MAMEYES,"CARRETERA 140, KILOMETRO 39.6",LOCAL POLICE DEPARTMENT
1018530,CUARTEL DE LA POLICIA ESTATAL - VEGA ALTA,CALLE LUIS MUNOZ RIVERA,LOCAL POLICE DEPARTMENT
1018534,CUARTEL DE LA POLICIA - VIEQUES,"CARRETERA 200, KILOMETRO 0.1",LOCAL POLICE DEPARTMENT
1018469,POLICIA DE MUNICIPAL DE MOCA,"CARRETERA 111, KILOMETRO 3.2",LOCAL POLICE DEPARTMENT
1018470,CUARTEL DE LA POLICIA ESTATAL - MOROVIS,CARRETERA 155 61,LOCAL POLICE DEPARTMENT
1018473,POLICIA MUNICIPAL DE NAGUABO,CALLE GOYCO 20,LOCAL POLICE DEPARTMENT
1018523,POLICIA MUNICIPAL DE TOA ALTA,CALLE MUNOZ RIVERA 83,LOCAL POLICE DEPARTMENT
1018535,CUARTEL DE LA POLICIA ESTATAL - VILLALBA,CALLE MUNOZ RIVERA 100,LOCAL POLICE DEPARTMENT
1018508,DEPARTAMENTO DE LA POLICIA DE SAN JUAN - COMANDANCIA,"CALLE JOSE DE DIEGO, URBANIZACION SAN FRANCISCO",LOCAL POLICE DEPARTMENT
1021562,UTAH HIGHWAY PATROL - SECTION 1 - LOGAN OFFICE,1225 WEST 200 NORTH,PRIMARY STATE AGENCY
1018533,POLICIA MUNICIPAL DE VEGA BAJA,CALLE BETANCES 100,LOCAL POLICE DEPARTMENT
1018520,CUARTEL DE LA POLICIA ESTATAL - SANTA ISABEL,CALLE CELIS AGUILERA 90,LOCAL POLICE DEPARTMENT
1021672,UTAH HIGHWAY PATROL - SECTION 5 - VERNAL OFFICE,152 EAST 100 NORTH,PRIMARY STATE AGENCY
1019068,SOUTH DAKOTA HIGHWAY PATROL DISTRICT 3 - HEADQUARTERS,1301 EAST CATRON BOULEVARD,PRIMARY STATE AGENCY
1015412,HEALTH ALLIANCE DEPARTMENT OF PUBLIC SAFETY,3200 BURNET AVENUE,SPECIAL JURISDICTION
1019008,HOVEN POLICE DEPARTMENT,MOBILE UNIT,LOCAL POLICE DEPARTMENT
1018382,POLICIA MUNICIPAL DE CAGUAS - SAN ANTONIO,"CARRETERA 175, BARRIO SAN ANTONIO",LOCAL POLICE DEPARTMENT
1016740,ORAL ROBERTS UNIVERSITY DEPARTMENT OF PUBLIC SAFETY AND SECURITY,"7777 SOUTH LEWIS AVENUE, STUDENT ACTIVITY CENTER BUILDING",SPECIAL JURISDICTION
1018482,COMANDANCIA DE AREA DE LA POLICIA ESTATAL - PONCE,CALLE ORQUIDEA,LOCAL POLICE DEPARTMENT
1018495,POLICIA MUNICIPAL DE SALINAS,CARRETERA 1,LOCAL POLICE DEPARTMENT
1022678,CHIPPEWA COUNTY JAIL,50 EAST SPRUCE STREET,LOCAL POLICE DEPARTMENT
1018355,POLICIA MUNICIPAL DE ADJUNTAS,CALLE SAN JOAQUIN 11,LOCAL POLICE DEPARTMENT
1018441,CUARTEL DE LA POLICIA - JAYUYA,CARRETERA 532,LOCAL POLICE DEPARTMENT
1018407,CUARTEL DE LA POLICIA - COROZAL,CARRETERA 891,LOCAL POLICE DEPARTMENT
1018463,POLICIA MUNICIPAL DE MARICAO,CALLE CORCHADO,LOCAL POLICE DEPARTMENT
1018421,CUARTEL DE LA POLICIA - GUAYANILLA,CALLE LUIS MUNOZ RIVERA,LOCAL POLICE DEPARTMENT
1018431,CUARTEL DE LA POLICIA - GURABO,CALLE EUGENIO S LOPEZ,LOCAL POLICE DEPARTMENT
1018525,CUARTEL DE LA POLICIA ESTATAL - TOA BAJA,CALLE MUNOZ RIVERA 9,LOCAL POLICE DEPARTMENT
1018514,FUERZA UNIDAD DE RAPIDA ACCION AERIAL DE SAN JUAN,"CALLE LINDBERGH FINAL, AEROPUERTO DE LA ISLA GRANDE",LOCAL POLICE DEPARTMENT
1018476,CUARTEL DE LA POLICIA ESTATAL - OROCOVIS,CALLE HOSPITAL FINAL,LOCAL POLICE DEPARTMENT
1018494,CUARTEL DE LA POLICIA ESTATAL - SALINAS,CALLE LUIS MUNOZ RIVERA,LOCAL POLICE DEPARTMENT
1018468,CUARTEL DE LA POLICIA ESTATAL - MOCA,CALLE BLANCA E CHICO,LOCAL POLICE DEPARTMENT
1018447,CUARTEL DE LA POLICIA - LAJAS,CALLE FERROCARRIL,LOCAL POLICE DEPARTMENT
1018449,POLICIA DE MUNICIPAL DE LAJAS,CALLE 65 DE INFANTERIA,LOCAL POLICE DEPARTMENT
1018419,COMANDANCIA DE AREA DE LA POLICIA CINCO DISTRITO - GUAYAMA,AVENIDA JOSE M TORRES,LOCAL POLICE DEPARTMENT
1018450,CUARTEL DE LA POLICIA ESTATAL,CALLE SAN JOSE,LOCAL POLICE DEPARTMENT
1018409,DISTRITO DE LA POLICIA - CULEBRA,CARRETERA 250,LOCAL POLICE DEPARTMENT
1018426,POLICIA MUNICIPAL DE GUAYNABO - CUARTEL DEL PUEBLO DE GUAYNABO,CALLE A,LOCAL POLICE DEPARTMENT
1018540,POLICIA MUNICIPAL DE YAUCO,CARRETERA 3372,LOCAL POLICE DEPARTMENT
1018507,CUARTEL POLICIA CAPITOLIO,CALLE REVERENDO GERARDO DAVILA,LOCAL POLICE DEPARTMENT
1018521,POLICIA MUNICIPAL DE SANTA ISABEL,CALLE CELIS AGUILERA,LOCAL POLICE DEPARTMENT
1018485,CUARTEL DE LA POLICIA ESTATAL - QUEBRADILLAS,CALLE JOSE PEREZ SOLER,LOCAL POLICE DEPARTMENT
1018498,CUARTEL CAPITAN ORLANDO PEREZ,CALLE SICILIA FINAL,LOCAL POLICE DEPARTMENT
1018515,ZONA TURISTICA DE SAN JUAN - OCEAN PARK,"CALLE SOLDADO SERRANO, PARQUE BARBOSA",LOCAL POLICE DEPARTMENT
1018423,POLICIA MUNICIPAL DE GUAYNABO - CUARTEL DE GUARAGUAO,"RAMAL 833, CENTRO DE SERVICIOS MULTIPLES BARRIO GUARAGUAO",LOCAL POLICE DEPARTMENT
1018410,POLICIA MUNICIPAL DE CULEBRA,CALLE PEDRO MARQUES,LOCAL POLICE DEPARTMENT
1018445,CUARTEL DE LA POLICIA ESTATAL - JUNCOS,CALLE BASILIA VELAZQUEZ FINAL,LOCAL POLICE DEPARTMENT
1018446,POLICIA MUNICIPAL DE JUNCOS,PASEO ESCUTE,LOCAL POLICE DEPARTMENT
1018465,POLICIA MUNICIPAL DE MAUNABO,"CARRETERA 901, BARRIO EMAJAGUA",LOCAL POLICE DEPARTMENT
1018459,CUARTEL DE LA POLICIA ESTATAL - LUQUILLO,CALLE 4 DE JULIO,LOCAL POLICE DEPARTMENT
1018358,POLICIA MUNICIPAL DE AGUAS BUENAS,CALLE RAFAEL LAZA,LOCAL POLICE DEPARTMENT
1018475,POLICIA MUNICIPAL DE NARANJITO,"CALLE MACELINO CRUZ, BARRIO ACHIOTE NARANJITO",LOCAL POLICE DEPARTMENT
1018538,POLICIA MUNICIPAL DE YABUCOA,CALLE CATALINA MORALES,LOCAL POLICE DEPARTMENT
1018509,DEPARTAMENTO DE LA POLICIA DE SAN JUAN - CUARTEL MONTE HATILLO,"AVENIDA 65 INFANTERIA, RESIDENCIAL MONTE HATILLO",LOCAL POLICE DEPARTMENT
1018479,POLICIA MUNICIPAL DE PATILLAS,CALLE MUNOZ RIVERA,LOCAL POLICE DEPARTMENT
1018486,POLICIA MUNICIPAL DE QUEBRADILLAS,CALLE COLICEO,LOCAL POLICE DEPARTMENT
1010333,OSTRANDER POLICE DEPARTMENT,414 MAIN STREET,LOCAL POLICE DEPARTMENT
1018361,POLICIA MUNICIPAL DE ARECIBO,"CALLE TRINA PADILLAS, ANTIGUA CAPITAL MUNICIPAL",LOCAL POLICE DEPARTMENT
1018428,POLICIA MUNICIPAL DE GUAYNABO - TRANSITO,AVENIDA RAMIREZ DE ARVELLANO,LOCAL POLICE DEPARTMENT
1018395,CUARTEL DE LA POLICIA - CAYEY,CALLE ANTONIO R BARCELO,LOCAL POLICE DEPARTMENT
1018413,CUARTEL DE LA POLICIA - FAJARDO,CALLE VICTORIA,LOCAL POLICE DEPARTMENT
1018501,CUARTEL DE LA POLICIA ESTATAL - PRECINTO BARRIO OBRERO,"AVENIDA EDUARDO CONDE FINAL, BARRIO OBRERO, SANTURCE",LOCAL POLICE DEPARTMENT
1018522,CUARTEL DE LA POLICIA ESTATAL - TOA ALTA,CALLE MUNOZ RIVERA 83,LOCAL POLICE DEPARTMENT
1018539,CUARTEL DE LA POLICIA ESTATAL - YAUCO,"CARRETERA 128, KILOMETRO 1.6",LOCAL POLICE DEPARTMENT
1018537,CUARTEL DE POLICIA - YABUCOA,CALLE CATALINA MORALES 102,LOCAL POLICE DEPARTMENT
1018516,CUARTEL DE LA POLICIA ESTATAL - SAN LORENZO,CALLE MUNOZ RIVERA 188,LOCAL POLICE DEPARTMENT
1018437,POLICIA DE MUNICIPAL HORMIGUEROS,"CALLE JULIO PEREZ IRIZARRY, KILOMETRO 1",LOCAL POLICE DEPARTMENT
1018438,COMANDANCIA DE LA POLICIA DE AREA - HUMACAO,"CALLE THOMAS BOILETTE FINAL, CARRETERA 908 BARRIO TEJAS",LOCAL POLICE DEPARTMENT
1018378,POLICIA MUNICIPAL DE CAGUAS - COMANDANCIA,AVENIDA LUIS MUNOZ MARIN,LOCAL POLICE DEPARTMENT
1018376,POLICIA MUNICIPAL DE CAGUAS - BARRIO BORINQUEN,"CARRETERA 765, BARRIO BORINQUEN, PARCELAS VIEJAS",LOCAL POLICE DEPARTMENT
1018380,POLICIA MUNICIPAL DE CAGUAS - LA SIERRA,"CARRETERA 172, KILOMETRO 6.1",LOCAL POLICE DEPARTMENT
1021573,UTAH HIGHWAY PATROL - SECTION 13 - MOAB OFFICE,125 EAST CENTER STREET,PRIMARY STATE AGENCY
1018506,CUARTEL GENERAL DE LA POLICIA,AVENIDA FRANKLIN D ROOSEVELT 101,LOCAL POLICE DEPARTMENT
1018517,POLICIA MUNICIPAL DE SAN LORENZO,CARRETERA 183,LOCAL POLICE DEPARTMENT
1018510,DEPARTAMENTO DE LA POLICIA DE SAN JUAN - CUARTEL MONTEHIEDRA,AVENIDA LOS ROMEROS Y CAMINO PASCUAL MULEROS,LOCAL POLICE DEPARTMENT
1018512,DEPARTAMENTO DE LA POLICIA DE SAN JUAN - PRECINTO 266 PARADA 15 SANTURCE,CALLE CERRA 902,LOCAL POLICE DEPARTMENT
1018513,DIVISION OPERACIONES TACTICA DE SAN JUAN,AVENIDA FERNANDEZ JUNCOS 7,LOCAL POLICE DEPARTMENT
1018374,POLICIA MUNICIPAL DE CAGUAS - BARRIADA MORALES,CARRETERA 156,LOCAL POLICE DEPARTMENT
1018383,POLICIA MUNICIPAL DE CAGUAS - SANTA ELVIRA,"CALLE SANTA ELENA, URBANIZACION SANTA ELVIRA",LOCAL POLICE DEPARTMENT
1018384,POLICIA MUNICIPAL DE CAGUAS - TOMAS DE CASTRO,"CALLE VIOLETA, BARRIO TOMAS DE CASTRO 1",LOCAL POLICE DEPARTMENT
1018424,POLICIA MUNICIPAL DE GUAYNABO - CUARTEL DE HATO NUEVO,"CARRETERA 834, SECTOR DE LABERINTO KILOMETRO 1.2",LOCAL POLICE DEPARTMENT
1018379,POLICIA MUNICIPAL DE CAGUAS - LA BARRA,CARRETERA 795,LOCAL POLICE DEPARTMENT
1018381,POLICIA MUNICIPAL DE CAGUAS - LAS CAROLINAS,"CALLE LIRIO, LAS CATALINAS",LOCAL POLICE DEPARTMENT
1018377,POLICIA MUNICIPAL DE CAGUAS - CAGUAS NORTE,CALLE MOSCU,LOCAL POLICE DEPARTMENT
1018386,POLICIA MUNICIPAL DE CAMUY,AVENIDA MUNOZ RIVERA,LOCAL POLICE DEPARTMENT
1018402,POLICIA MUNICIPAL DE CIDRA - TENIENTE CARLOS MILAN RODRIGUEZ,"CARRETERA 7733, KILOMETRO 8.1",LOCAL POLICE DEPARTMENT
1018375,POLICIA MUNICIPAL DE CAGUAS - BARRIO BEATRIZ,"CARRETERA 1, BARRIO BEATRIZ, SECTOR LOS PANES",LOCAL POLICE DEPARTMENT
1018471,POLICIA MUNICIPAL DE MOROVIS,"CARRETERA 155, ESTACIONAMIENTO DE COLISEUM",LOCAL POLICE DEPARTMENT
1018472,CUARTEL DE LA POLICIA ESTATAL - NAGUABO,CALLE MUNOZ RIVERA,LOCAL POLICE DEPARTMENT
1018474,CUARTEL DE LA POLICIA ESTATAL - NARANJITO,CALLE MACELINO CRUZ 200,LOCAL POLICE DEPARTMENT
1018478,CUARTEL DE LA POLICIA ESTATAL - PATILLAS,"CARRETERA 3, KILOMETRO 123.2",LOCAL POLICE DEPARTMENT
1018483,COMANDANCIA DE AREA DE LA POLICIA ESTATAL - PONCE,AVENIDA HOSTOS Y AVENIDA LAS AMERICAS,LOCAL POLICE DEPARTMENT
1018511,DEPARTAMENTO DE LA POLICIA DE SAN JUAN - CUARTEL RIO PIEDRAS,"CALLE TIZOL 64, URBANIZACION IBARRI",LOCAL POLICE DEPARTMENT
1018396,POLICIA MUNICIPAL CAYEY,AVENUE LUIS MUNOZ MARIN 73,LOCAL POLICE DEPARTMENT
1018398,POLICIA MUNICIPAL CEIBA,"AVENIDA LAURO PINERO, SECTOR NORTE",LOCAL POLICE DEPARTMENT
1018414,POLICIA MUNICIPAL FAJARDO,CALLE GARRIDO MORALES 100,LOCAL POLICE DEPARTMENT
1018416,POLICIA MUNICIPAL DE FLORIDA,CALLE MUNOZ RIVERA Y CALLE CARMELO SANTIAGO,LOCAL POLICE DEPARTMENT
1018399,CUARTEL DE LA POLICIA - CIALES,CALLE NEUVA 6,LOCAL POLICE DEPARTMENT
1018435,POLICIA DE MUNICIPIO DE HATILLO,"CARRETERA 119, KILOMETRO 1.8",LOCAL POLICE DEPARTMENT
1018499,CUARTEL DE LA POLICIA ESTATAL - CALLE LOIZA,CALLE BUCARE Y CALLE DURCELLA,LOCAL POLICE DEPARTMENT
1018503,CUARTEL DE LA POLICIA ESTATAL - PRECINTO CUPEY 262,CALLE CLAVEL 578,LOCAL POLICE DEPARTMENT
1018504,CUARTEL DE LA POLICIA ESTATAL - PRECINTO RIO PIEDRAS,CALLE GEORGETTI 50,LOCAL POLICE DEPARTMENT
1018500,CUARTEL DE LA POLICIA ESTATAL - PRECINTO 166,AVENIDA FERNANDE JUNCOS 340,LOCAL POLICE DEPARTMENT
1018505,CUARTEL DE POLICIA ESTATAL - HATO REY OESTE,AVENIDA ELEONAR ROOSEVELT 226,LOCAL POLICE DEPARTMENT
1018415,CUARTEL DE DISTRITO DE LA POLICIA - FLORIDA,"CARRETERA 140, KILOMETRO 56.3 BARRIO FLORIDA",LOCAL POLICE DEPARTMENT
1018464,CUARTEL DE LA POLICIA ESTATAL - MAUNABO,AVENUE KENNEDY 450,LOCAL POLICE DEPARTMENT
1018454,POLICIA MUNICIPAL DE LAS PIEDRAS,CALLE JOSE CELSO BARBAROSA,LOCAL POLICE DEPARTMENT
1018453,CUARTEL DE LA POLICIA ESTATAL - LAS PIEDRAS,CARRETERA 198,LOCAL POLICE DEPARTMENT
